GoldStandard	Predicted
cloud nine	cloud computing
trouble and strife	trouble and .
itchy feet	itchy !
in the best of health	in the best of .
dirty work	dirty deeds
back to the drawing board	back to the drawing .
cock and bull story	cock and bull ##fighting
now or never	now or never
money talks	money .
rat race	rat ##h
rough time	rough ##riders
tour de force	tour de france
armed to the teeth	armed to the .
a load of cobblers	a load of .
big deal	big daddy
level playing field	level playing .
by and large	by and .
behind closed doors	behind closed doors
absence makes the heart grow fonder	absence makes the heart grow .
a steal	a .
a slap on the wrist	a slap on the head
wild and woolly	wild and wild
hell bent	hell .
in the bag	in the .
the upper crust	the upper .
get a life	get a .
mea culpa	mea !
bottle and glass	bottle and .
an act of war	an act of parliament
under the table	under the circumstances
let bygones be bygones	let bygones be .
familiarity breeds contempt	familiarity breeds :
on the same wavelength	on the same .
dead meat	dead ##pool
north and south	north and south
how come	how ?
last but not least	last but not .
cream of the crop	cream of the earth
dead serious	dead ##pool
under the weather	under the circumstances
slice of life	slice of cake
nine to five	nine to .
over the hill	over the years
beyond price	beyond borders
for love nor money	for love nor fear
under canvas	under .
better late than never	better late than usual
a breath of fresh air	a breath of fresh air
food for thought	food for kids
over the top	over the years
building blocks	building .
hale and hearty	hale and .
calendar year	calendar year
a whole new ball game	a whole new ball ##game
quality time	quality assurance
through thick and thin	through thick and .
beats me	beats !
under the sun	under the circumstances
off the beaten track	off the beaten .
keep up the good work	keep up the good ;
al fresco	al .
be a sport	be a .
word for word	word for .
down to earth	down to .
in a trice	in a .
sink or swim	sink or sink
technically speaking	technically .
to a fine art	to a fine .
strapped for cash	strapped for .
all that jazz	all that !
piece of cake	piece of cake
vale of tears	vale of glamorgan
bright as a button	bright as a flame
weather permitting	weather report
once in a blue moon	once in a blue .
first come first served	first come first .
not for a minute	not for a .
safety in numbers	safety in ;
salt of the earth	salt of the sea
pain in the neck	pain in the stomach
the spirit of the law	the spirit of the .
an eye for an eye	an eye for an eye
a red flag	a red .
face the music	face the .
just what the doctor ordered	just what the doctor said
per se	per .
a fly on the wall	a fly on the moon
come hell or high water	come hell or high heaven
dead ringer	dead ##pool
wishful thinking	wishful .
flesh and blood	flesh and blood
a new lease of life	a new lease of land
on the record	on the .
volte face	volte !
tough love	tough .
green light	green .
glass ceiling	glass .
gut feeling	gut ##enberg
love child	love .
under the wire	under the circumstances
under construction	under .
all the way	all the .
so far so good	so far so far
about face	about .
many happy returns	many happy .
ray of sunshine	ray of light
off the hook	off the beach
greener pastures	greener .
business as usual	business as ;
skin and bones	skin and bones
the last straw	the last .
date rape	date :
dream ticket	dream ##land
bag of bones	bag of dynamite
nuts and bolts	nuts and bolts
live and learn	live and .
in the wake of	in the wake .
above suspicion	above :
on thin ice	on thin .
nine times out of ten	nine times out of ten
fair enough	fair ##haven
on the wagon	on the .
state of the art	state of the union
sixth sense	sixth round
mumbo jumbo	mumbo !
a safe pair of hands	a safe pair of .
achilles heel	achilles .
act of god	act of parliament
come rain or shine	come rain or shine
all the more	all the .
on cloud nine	on cloud computing
pull yourself together	pull yourself together
a blessing in disguise	a blessing in heaven
picture of health	picture of .
pressed for time	pressed for .
ill-gotten gains	ill-gotten .
silver bullet	silver medal
done to death	done to .
pie in the sky	pie in the rye
break a leg	break a .
right as rain	right as .
green with envy	green with .
old hat	old .
perfect pitch	perfect .
behave yourself	behave !
larger than life	larger than .
god knows	god !
thumbs down	thumbs .
thumbs up	thumbs .
tongue in cheek	tongue in cheek
filthy rich	filthy .
make hay while the sun shines	make hay while the sun rises
bolt from the blue	bolt from the sky
in cahoots with	in cahoots .
a storm in a teacup	a storm in a storm
bad blood	bad !
fall from grace	fall from grace
above the law	above the .
made of money	made of wood
safe and sound	safe and sound
young at heart	young at .
self explanatory	self .
brass tacks	brass quintet
time flies	time .
red ink	red .
great minds think alike	great minds think alike
alphabet soup	alphabet ##ically
the letter of the law	the letter of the alphabet
all set	all .
out of this world	out of this ?
as high as a kite	as high as a .
rest up	rest .
a foot in the door	a foot in the sky
at the wheel	at the .
silver lining	silver medal
come what may	come what ?
sooner or later	sooner or .
on a shoestring	on a .
high and mighty	high and mighty
to the hilt	to the .
gender bender	gender .
now and then	now and forever
high season	high .
red letter day	red letter logo
every cloud has a silver lining	every cloud has a silver .
never-never land	never-never !
a clean bill of health	a clean bill of ;
white as a sheet	white as a .
no rush	no .
in name only	in name :
zero hour	zero !
on the rocks	on the .
blood is thicker than water	blood is thicker than .
hocus pocus	hocus .
a sea change	a sea .
bag of tricks	bag of dynamite
a fate worse than death	a fate worse than .
canteen culture	canteen .
all thumbs	all .
feeding frenzy	feeding .
in the dock	in the .
on the ball	on the .
dice with death	dice with .
out of sight	out of bounds
long in the tooth	long in the sky
in a fog	in a .
ethnic cleansing	ethnic groups
practice makes perfect	practice makes .
close to home	close to .
on the run	on the .
that makes two of us	that makes two of .
alive and kicking	alive and kicking
bells and whistles	bells and .
along the lines	along the .
water under the bridge	water under the bridge
elbow grease	elbow .
jack of all trades	jack of all trades
all in all	all in ;
snowed under	snowed .
first among equals	first among .
washed up	washed ashore
curiosity killed the cat	curiosity killed the .
in the pink	in the .
not in a million years	not in a million dollars
you bet	you !
on the same page	on the same .
chicken feed	chicken soup
