GoldStandard	Predicted
once in a blue moon	venus in a blue moon
first come first served	please come first served
not for a minute	wait for a minute
safety in numbers	polynomials in numbers
salt of the earth	wonders of the earth
pain in the neck	hole in the neck
the spirit of the law	holy spirit of the law
an eye for an eye	an eye for an eye
a red flag	• red flag
face the music	all the music
just what the doctor ordered	exactly what the doctor ordered
per se	per se
a fly on the wall	butterflies fly on the wall
come hell or high water	holy hell or high water
dead ringer	jim ringer
wishful thinking	creative thinking
flesh and blood	flesh and blood
a new lease of life	• new lease of life
on the record	keeping the record
volte face	smiley face
tough love	true love
green light	artificial light
glass ceiling	vaulted ceiling
gut feeling	good feeling
love child	lost child
under the wire	pull the wire
under construction	• construction
all the way	along the way
so far so good	so far so good
about face	smiley face
many happy returns	happy happy returns
ray of sunshine	ray of sunshine
off the hook	grab the hook
greener pastures	sheep pastures
business as usual	proceed as usual
skin and bones	skull and bones
the last straw	the last straw
date rape	marital rape
dream ticket	vanity ticket
bag of bones	pile of bones
nuts and bolts	nuts and bolts
live and learn	learn and learn
in the wake of	in the wake of
above suspicion	false suspicion
on thin ice	• thin ice
nine times out of ten	five times out of ten
fair enough	fair enough
on the wagon	pull the wagon
state of the art	state of the art
sixth sense	common sense
mumbo jumbo	super jumbo
a safe pair of hands	a safe pair of hands
achilles heel	achilles heel
act of god	servant of god
come rain or shine	may rain or shine
all the more	and the more
on cloud nine	★ cloud nine
pull yourself together	pull yourself together
a blessing in disguise	divine blessing in disguise
picture of health	ministry of health
pressed for time	wait for time
ill-gotten gains	net gains
silver bullet	silver bullet
done to death	condemned to death
pie in the sky	stars in the sky
break a leg	break a leg
right as rain	cold as rain
green with envy	filled with envy
old hat	straw hat
perfect pitch	artificial pitch
behave yourself	save yourself
larger than life	bigger than life
god knows	nobody knows
thumbs down	upside down
thumbs up	wake up
tongue in cheek	tongue in cheek
filthy rich	richie rich
make hay while the sun shines	the hay while the sun shines
bolt from the blue	escape from the blue
in cahoots with	• cahoots with
a storm in a teacup	• storm in a teacup
bad blood	holy blood
fall from grace	escape from grace
above the law	under the law
made of money	lack of money
safe and sound	sight and sound
young at heart	love at heart
self explanatory	• explanatory
brass tacks	rough tacks
time flies	fruit flies
red ink	adobe ink
great minds think alike	our minds think alike
alphabet soup	chicken soup
the letter of the law	• letter of the law
all set	boxed set
out of this world	wonders of this world
as high as a kite	flying high as a kite
rest up	wake up
a foot in the door	one foot in the door
at the wheel	turn the wheel
silver lining	silver lining
come what may	but what may
sooner or later	sooner or later
on a shoestring	• a shoestring
high and mighty	mighty and mighty
to the hilt	beneath the hilt
gender bender	gary bender
now and then	… and then
high season	regular season
red letter day	• letter day
every cloud has a silver lining	blue cloud has a silver lining
never-never land	waste land
a clean bill of health	• clean bill of health
white as a sheet	printed as a sheet
no rush	gold rush
in name only	genus name only
zero hour	rush hour
on the rocks	beneath the rocks
blood is thicker than water	salt is thicker than water
hocus pocus	magna pocus
a sea change	tropical sea change
bag of tricks	list of tricks
a fate worse than death	a fate worse than death
canteen culture	pop culture
all thumbs	golden thumbs
feeding frenzy	feeding frenzy
in the dock	• the dock
on the ball	drop the ball
dice with death	beginning with death
out of sight	line of sight
long in the tooth	hole in the tooth
in a fog	like a fog
ethnic cleansing	ethnic cleansing
practice makes perfect	god makes perfect
close to home	return to home
on the run	on the run
that makes two of us	god makes two of us
alive and kicking	kicking and kicking
bells and whistles	bells and whistles
along the lines	follow the lines
water under the bridge	tunnel under the bridge
elbow grease	• grease
jack of all trades	list of all trades
all in all	best in all
snowed under	• under
first among equals	equals among equals
washed up	wake up
curiosity killed the cat	whoever killed the cat
in the pink	buffy the pink
not in a million years	once in a million years
you bet	blind bet
on the same page	on the same page
chicken feed	larvae feed
