GoldStandard	Predicted
up in the air	up in the air
out of the blue	out of the blue
cloud nine	cloud computing
trouble and strife	trouble & strife
itchy feet	itchy !
in the best of health	in the field of health
dirty work	dirty deeds
back to the drawing board	back to the drawing board
cock and bull story	cock and hounds story
now or never	now shall never
money talks	money .
rat race	rat ##h
rough time	rough ##riders
tour de force	tour de force
armed to the teeth	armed to bear teeth
a load of cobblers	a load bearing cobblers
big deal	big daddy
level playing field	level 1 field
by and large	by infinitely large
behind closed doors	behind closed doors
absence makes the heart grow fonder	absence makes the animals grow fonder
a steal	a .
a slap on the wrist	a slap on the wrist
wild and woolly	wild - woolly
hell bent	hell .
in the bag	in my bag
the upper crust	the upper crust
get a life	get your life
mea culpa	mea !
bottle and glass	bottle of glass
an act of war	an act of war
under the table	under ##lined table
let bygones be bygones	let bygones and bygones
familiarity breeds contempt	familiarity of contempt
on the same wavelength	on the same wavelength
dead meat	dead ##pool
north and south	north – south
how come	how ?
last but not least	last but at least
cream of the crop	cream of wheat crop
dead serious	dead ##pool
under the weather	under cold weather
slice of life	slice of life
nine to five	nine eighty five
over the hill	over the hill
beyond price	beyond borders
for love nor money	for love & money
under canvas	under .
better late than never	better late than never
a breath of fresh air	a breath of fresh air
food for thought	food safety thought
over the top	over the top
building blocks	building .
hale and hearty	hale ##vy hearty
calendar year	calendar year
a whole new ball game	a whole - ball game
quality time	quality assurance
through thick and thin	through thick ##ly thin
beats me	beats !
under the sun	under the sun
off the beaten track	off the beaten track
keep up the good work	keep up your good work
al fresco	al .
be a sport	be ##c sport
word for word	word by word
down to earth	down on earth
in a trice	in la trice
sink or swim	sink & swim
technically speaking	technically .
to a fine art	to a fine art
strapped for cash	strapped with cash
all that jazz	all - jazz
piece of cake	piece of cake
vale of tears	vale ##rian tears
bright as a button	bright as lightning button
weather permitting	weather report
once in a blue moon	once in the blue moon
first come first served	first come ##rs served
not for a minute	not for one minute
safety in numbers	safety vehicle numbers
salt of the earth	salt of the earth
pain in the neck	pain in the neck
the spirit of the law	the spirit of the law
an eye for an eye	an eye or an eye
a red flag	a green flag
face the music	face ##lift music
just what the doctor ordered	just what the doctor ordered
per se	per .
a fly on the wall	a fly off the wall
come hell or high water	come hell in high water
dead ringer	dead ##pool
wishful thinking	wishful .
flesh and blood	flesh ##less blood
a new lease of life	a new way of life
on the record	on vinyl record
volte face	volte !
tough love	tough .
green light	green .
glass ceiling	glass .
gut feeling	gut ##enberg
love child	love .
under the wire	under barbed wire
under construction	under .
all the way	all this way
so far so good	so far is good
about face	about .
many happy returns	many happy returns
ray of sunshine	ray ##leigh sunshine
off the hook	off the hook
greener pastures	greener .
business as usual	business as usual
skin and bones	skin and bones
the last straw	the yellow straw
date rape	date :
dream ticket	dream ##land
bag of bones	bag ##gy bones
nuts and bolts	nuts ##hell bolts
live and learn	live & learn
in the wake of	in the case of
above suspicion	above :
on thin ice	on thin ice
nine times out of ten	nine times out of ten
fair enough	fair ##haven
on the wagon	on a wagon
state of the art	state of fine art
sixth sense	sixth round
mumbo jumbo	mumbo !
a safe pair of hands	a safe gathering of hands
achilles heel	achilles .
act of god	act of god
come rain or shine	come rain shall shine
all the more	all the more
on cloud nine	on channel nine
pull yourself together	pull them together
a blessing in disguise	a blessing or disguise
picture of health	picture of health
pressed for time	pressed this time
ill-gotten gains	ill-gotten .
silver bullet	silver medal
done to death	done unto death
pie in the sky	pie in the sky
break a leg	break - leg
right as rain	right through rain
green with envy	green ##leaf envy
old hat	old .
perfect pitch	perfect .
behave yourself	behave !
larger than life	larger animal life
god knows	god !
thumbs down	thumbs .
thumbs up	thumbs .
tongue in cheek	tongue on cheek
filthy rich	filthy .
make hay while the sun shines	make hay while the sun shines
bolt from the blue	bolt from sky blue
in cahoots with	in conjunction with
a storm in a teacup	a storm strikes a teacup
bad blood	bad !
fall from grace	fall of grace
above the law	above common law
made of money	made good money
safe and sound	safe puget sound
young at heart	young golden heart
self explanatory	self .
brass tacks	brass quintet
time flies	time .
red ink	red .
great minds think alike	great minds ##hip alike
alphabet soup	alphabet ##ically
the letter of the law	the letter of the law
all set	all .
out of this world	out of the world
as high as a kite	as high as a kite
rest up	rest .
a foot in the door	a foot outside the door
at the wheel	at the wheel
silver lining	silver medal
come what may	come friday may
sooner or later	sooner or later
on a shoestring	on the shoestring
high and mighty	high mighty mighty
to the hilt	to thy hilt
gender bender	gender .
now and then	now … then
high season	high .
red letter day	red flag day
every cloud has a silver lining	every cloud has its silver lining
never-never land	never-never !
a clean bill of health	a clean chain of health
white as a sheet	white as satin sheet
no rush	no .
in name only	in bold only
zero hour	zero !
on the rocks	on volcanic rocks
blood is thicker than water	blood is thicker than water
hocus pocus	hocus .
a sea change	a climate change
bag of tricks	bag ##pipe tricks
a fate worse than death	a fate worse than death
canteen culture	canteen .
all thumbs	all .
feeding frenzy	feeding .
in the dock	in dry dock
on the ball	on the ball
dice with death	dice dice death
out of sight	out of sight
long in the tooth	long in - tooth
in a fog	in dense fog
ethnic cleansing	ethnic groups
practice makes perfect	practice : perfect
close to home	close at home
on the run	on the run
that makes two of us	that makes fun of us
alive and kicking	alive & kicking
bells and whistles	bells & whistles
along the lines	along these lines
water under the bridge	water under gravity bridge
elbow grease	elbow .
jack of all trades	jack of the trades
all in all	all saints all
snowed under	snowed .
first among equals	first order equals
washed up	washed ashore
curiosity killed the cat	curiosity killed a cat
in the pink	in deep pink
not in a million years	not in 100 million years
you bet	you !
on the same page	on the main page
chicken feed	chicken soup
